<STATUS> at <TIME> (@100 ns),,push,pop,peek,clear,din,,full(exp:act),empty(exp:act),dout(exp:act)
SUCCESS at 13200 ns,,1,0,0,0,01000000,,0:0,0:0,--------:01000000
SUCCESS at 13300 ns,,0,0,1,0,--------,,0:0,0:0,01000000:01000000
SUCCESS at 13400 ns,,1,0,0,0,01000001,,0:0,0:0,--------:01000001
SUCCESS at 13500 ns,,0,0,1,0,--------,,0:0,0:0,01000001:01000001
SUCCESS at 13600 ns,,1,0,0,0,01000010,,0:0,0:0,--------:01000010
SUCCESS at 13700 ns,,0,0,1,0,--------,,0:0,0:0,01000010:01000010
SUCCESS at 13800 ns,,1,0,0,0,01000011,,0:0,0:0,--------:01000011
SUCCESS at 13900 ns,,0,0,1,0,--------,,0:0,0:0,01000011:01000011
SUCCESS at 14000 ns,,1,0,0,0,01000100,,0:0,0:0,--------:01000100
SUCCESS at 14100 ns,,0,0,1,0,--------,,0:0,0:0,01000100:01000100
SUCCESS at 14200 ns,,1,0,0,0,01000101,,0:0,0:0,--------:01000101
SUCCESS at 14300 ns,,0,0,1,0,--------,,0:0,0:0,01000101:01000101
SUCCESS at 14400 ns,,1,0,0,0,01000110,,0:0,0:0,--------:01000110
SUCCESS at 14500 ns,,0,0,1,0,--------,,0:0,0:0,01000110:01000110
SUCCESS at 14600 ns,,1,0,0,0,01000111,,0:0,0:0,--------:01000111
SUCCESS at 14700 ns,,0,0,1,0,--------,,0:0,0:0,01000111:01000111
SUCCESS at 14800 ns,,1,0,0,0,01001000,,0:0,0:0,--------:01001000
SUCCESS at 14900 ns,,0,0,1,0,--------,,0:0,0:0,01001000:01001000
SUCCESS at 15000 ns,,1,0,0,0,01001001,,0:0,0:0,--------:01001001
SUCCESS at 15100 ns,,0,0,1,0,--------,,0:0,0:0,01001001:01001001
SUCCESS at 15200 ns,,1,0,0,0,01001010,,0:0,0:0,--------:01001010
SUCCESS at 15300 ns,,0,0,1,0,--------,,0:0,0:0,01001010:01001010
SUCCESS at 15400 ns,,1,0,0,0,01001011,,0:0,0:0,--------:01001011
SUCCESS at 15500 ns,,0,0,1,0,--------,,0:0,0:0,01001011:01001011
SUCCESS at 15600 ns,,1,0,0,0,01001100,,0:0,0:0,--------:01001100
